slug,name,page_path,mls_subdivisions,review,sales_total,sales_by_year,variants_added
coyote-run,Coyote Run,/coyote-run.php,coyote run,,110,49/13/18/30,0
belle-lago,Belle Lago,/belle-lago.php,belle lago,,109,36/22/20/31,0
hyda-hills-2,Hyda Hills 2,/hyda-hills-2.php,hyda hills 2,,108,23/31/27/27,0
whitetail-creek,WhiteTail Creek,/whitetail-creek.php,whitetail creek,,108,29/28/32/19,0
river-oaks,River Oaks,/river-oaks.php,river oaks | river oaks replat 3 | river oaks replat 6,,107,57/22/18/10,2
summit-ridge,Summit Ridge,/summit-ridge.php,summit ridge | summit ridge replat four | summit ridge replat one,,107,29/28/26/24,2
aspen-creek-north,Aspen Creek North,/aspen-creek-north.php,aspen creek north | aspen creek north 2 | aspen creek north phase 2 | aspen creek north phase ii,,106,9/34/30/33,3
cattail-creek,Cattail Creek,/cattail-creek.php,cattail creek | cattail creek iii | cattail creek rep 2 | cattail creek rep 2* | cattail creek rep 3* | cattail creek replat one,,105,32/22/22/29,5
the-grove,The Grove,/the-grove.php,the grove,,105,36/23/25/21,0
hyda-hills,Hyda Hills,/hyda-hills.php,hyda hills | hyda hills ii | hyda hills lot 42.,,102,22/20/32/28,2
ralston,Ralston,/ralston.php,ralston | ralston add | ralston add lot 5 block 33 17 ft strip & 1/2 vac alley adj & lts 3-4 & | ralston addition | ralston replat | ralston replat nine,"City/area page: MLS plat of the same name is only the original town, not the whole city",100,20/24/23/33,5
hickory-hill,Hickory Hill,/hickory-hill.php,hickory hill | hickory hill ii,,100,29/19/26/26,1
whitehawk,WhiteHawk,/whitehawk.php,whitehawk | whitehawk rep 1 | whitehawk rep 2 | whitehawk replat 1,,99,30/23/26/20,3
twin-ridge,Twin Ridge,/twin-ridge.php,twin ridge | twin ridge 2 | twin ridge ii | twin ridge ii condominium | twin ridge ii condominium property regime no. 1 | twin ridge iv | twin ridge v,,98,25/17/27/29,6
falling-waters,Falling Waters,/falling-waters.php,falling waters | falling waters ii | falling waters lot 286 block 0 | falling waters rep 1 | falling waters replat seven,,98,26/25/15/32,4
stone-creek,Stone Creek,/stone-creek.php,stone creek | stone creek rep 1 | stone creek replat 1,,94,25/25/20/24,2
pine-creek,Pine Creek,/pine-creek.php,pine creek,,93,37/17/19/20,0
belterra,Belterra,/belterra.php,belterra,,92,0/19/34/39,0
shadow-lake-2,Shadow Lake 2,/shadow-lake-2.php,shadow lake 2,,91,28/29/19/15,0
two-springs,Two Springs,/two-springs.php,two springs | two springs replat i | two springs replat ii | two springs replat iii,,91,23/21/22/25,3
sunset-meadows,Sunset Meadows,/sunset-meadows.php,sunset meadows,,90,0/0/35/55,0
waterford,Waterford,/waterford.php,waterford | waterford lot 5 block 0 irreg | waterford lot 64 block 0 | waterford lot 70 block 0 | waterford rep 3,,90,24/26/21/19,4
anchor-pointe,Anchor Pointe,/anchor-pointe.php,anchor pointe | anchor pointe lot 148 block 0 lot 148 | anchor pointe phase 2 | anchor pointe phase 3 | anchor pointe replat 1,,90,37/27/17/9,4
brookhaven,Brookhaven,/brookhaven.php,brookhaven | brookhaven lot 32 block 0 | brookhaven replat ii,,90,21/22/25/22,2
sunridge,SunRidge,/sunridge.php,sunridge | sunridge replat one,,87,25/23/18/21,1
chestnut-hills,Chestnut Hills,/chestnut-hills.php,chestnut hills,,87,30/28/16/13,0
ridgemoor,Ridgemoor,/ridgemoor.php,ridgemoor | ridgemoor replat 1 | ridgemoor replat two,,86,27/24/18/17,2
deerwood,Deerwood,/deerwood.php,deerwood,,85,24/28/21/12,0
arbor-view,Arbor View,/arbor-view.php,arbor view | arbor view 2,,84,22/16/20/26,1
millard-park,Millard Park,/millard-park.php,millard park | millard park replat 6,,84,22/22/17/23,1
