slug,name,page_path,mls_subdivisions,review,sales_total,sales_by_year,variants_added
falcon-ridge,Falcon Ridge,/falcon-ridge.php,falcon ridge | falcon ridge rep 1 lot 13 block 0 77 x 163,,37,11/12/10/4,1
millard-heights,Millard Heights,/millard-heights.php,millard heights | millard heights add | millard heights addition | millard heights replat | millard heights replat iv | millard heights replat lii,,37,13/7/9/8,5
tregaron,Tregaron,/tregaron.php,tregaron,,37,9/17/7/4,0
normandy-hills,Normandy Hills,/normandy-hills.php,normandy hills,,37,11/6/8/12,0
rockbrook-heights,Rockbrook Heights,/rockbrook-heights.php,rockbrook heights,,36,11/10/6/9,0
rose-garden-estates,Rose Garden Estates,/rose-garden-estates.php,rose garden estates,,36,12/8/10/6,0
val-verde,Val Verde,/val-verde.php,val verde,,36,10/4/13/9,0
linden-estates,Linden Estates,/linden-estates.php,linden estates,,36,6/10/10/10,0
northridge-estates,Northridge Estates,/northridge-estates.php,northridge estates | northridge estates replat two,,35,4/13/8/10,1
windridge,Windridge,/windridge.php,windridge,,35,7/9/8/11,0
dillons-fairacres,Dillons Fairacres,/dillons-fairacres.php,dillons fairacres | dillons fairacres add | dillons fairacres add lot 16 block 5 irreg,,35,11/5/10/9,2
highland-park,Highland Park,/highland-park.php,highland park,,35,11/8/7/9,0
barrington-park,Barrington Park,/barrington-park.php,barrington park,,34,12/11/7/4,0
bennington-park,Bennington Park,/bennington-park.php,bennington park,,34,11/8/5/10,0
englewood,Englewood,/englewood.php,englewood | englewood add | englewood addition,,34,8/9/8/9,2
creighton-park,Creighton Park,/creighton-park.php,creighton park,,34,10/9/8/7,0
shadow-view,Shadow View,/shadow-view.php,shadow view | shadow view 2,,34,13/2/9/10,1
prairie-hills,Prairie Hills,/prairie-hills.php,prairie hills | prairie hills add | prairie hills replat two,,33,11/10/6/6,2
brookhaven-west,BrookHaven West,/brookhaven-west.php,brookhaven west | brookhaven west rep one* | brookhaven west rep two | brookhaven west replat twelve,,33,10/6/8/9,3
hunters-crossing,Hunters Crossing,/hunters-crossing.php,hunters crossing,,33,11/3/10/9,0
the-colonies,The Colonies,/the-colonies.php,the colonies | the colonies replat ii | the colonies replat iv | the colonies replat vi,,32,5/9/8/10,3
bennington-park-west,Bennington Park West,/bennington-park-west.php,bennington park west,,32,15/5/6/6,0
west-shores,West Shores,/west-shores.php,west shores,,32,6/13/6/7,0
falcon-pointe,Falcon Pointe,/falcon-pointe.php,falcon pointe,,32,10/6/7/9,0
ashbury-farm,Ashbury Farm,/ashbury-farm.php,ashbury farm,,31,6/9/9/7,0
the-hill,The Hill,/the-hill.php,the hill,,31,0/0/0/31,0
deer-creek-reserve,Deer Creek Reserve,/deer-creek-reserve.php,deer creek reserve,,31,8/11/8/4,0
manchester-ridge,Manchester Ridge,/manchester-ridge.php,manchester ridge,,31,10/10/8/3,0
banyan-hills,Banyan Hills,/banyan-hills.php,banyan hills,,31,12/5/8/6,0
copper-ridge,Copper Ridge,/copper-ridge.php,copper ridge,,31,8/9/8/6,0
emerald-oaks,Emerald Oaks,/emerald-oaks.php,emerald oaks | emerald oaks replat,,31,12/9/4/6,1
loveland,Loveland,/loveland.php,loveland | loveland add | loveland addition,,30,9/8/8/5,2
shadow-glen,Shadow Glen,/shadow-glen.php,shadow glen,,30,10/6/6/8,0
hanover-falls,Hanover Falls,/hanover-falls.php,hanover falls,,30,6/8/7/9,0
woodbrook-west,Woodbrook West,/woodbrook-west.php,woodbrook west,,30,5/12/12/1,0
roanoke-estates,Roanoke Estates,/roanoke-estates.php,roanoke estates | roanoke estates replat 5,,30,11/10/4/5,1
southbrook,Southbrook,/southbrook.php,southbrook,,30,10/10/5/5,0
merrifield-village,Merrifield Village,/merrifield-village.php,merrifield village,,30,6/5/13/6,0
oakridge,Oakridge,/oakridge.php,oakridge,,29,11/8/8/2,0
westchester,Westchester,/westchester.php,westchester | westchester add | westchester addition,,29,8/6/8/7,2
seville,Seville,/seville.php,seville,,29,9/7/6/7,0
south-shore-heights,South Shore HEIGHTS,/south-shore-heights.php,south shore heights,,29,6/9/8/6,0
greenfields,Greenfields,/greenfields.php,greenfields,,29,7/7/6/9,0
millard-oaks,Millard Oaks,/millard-oaks.php,millard oaks,,29,10/5/8/6,0
vintage-oaks,Vintage Oaks,/vintage-oaks.php,vintage oaks,,29,9/8/6/6,0
escalante-hills,Escalante Hills,/escalante-hills.php,escalante hills | escalante hills replat | escalante hills replat ii,,28,6/7/9/6,2
maenner-meadows,Maenner Meadows,/maenner-meadows.php,maenner meadows,,28,6/3/11/8,0
crestwood,Crestwood,/crestwood.php,crestwood | crestwood add | crestwood addition,,28,9/9/8/2,2
sunset-hills,Sunset Hills,/sunset-hills.php,sunset hills | sunset hills lot 2 block 1 irreg,,28,6/9/3/10,1
flatwater-lake,Flatwater Lake,/flatwater-lake.php,flatwater lake,,28,0/4/8/16,0
standing-stone,Standing Stone,/standing-stone.php,standing stone,,27,7/5/6/9,0
dolls-rockbrook,Dolls Rockbrook,/dolls-rockbrook.php,dolls rockbrook | dolls rockbrook add,,27,8/4/9/6,1
andresen-meadows,Andresen Meadows,/andresen-meadows.php,andresen meadows,,27,7/7/6/7,0
farmington-woods,Farmington Woods,/farmington-woods.php,farmington woods | farmington woods replat,,27,7/8/8/4,1
val-vista,Val Vista,/val-vista.php,val vista,,27,9/4/7/7,0
evanston,Evanston,/evanston.php,evanston | evanston add | evanston addition,,27,6/6/7/8,2
western-hills,Western Hills,/western-hills.php,western hills,,27,4/7/8/8,0
cottonwood,Cottonwood,/cottonwood.php,cottonwood,,27,9/6/6/6,0
manchester-park,Manchester Park,/manchester-park.php,manchester park,,27,6/6/7/8,0
cedar-grove,Cedar Grove,/cedar-grove.php,cedar grove | cedar grove replat 1,,26,6/11/4/5,1
cedarwoods,Cedarwoods,/cedarwoods.php,cedarwoods,,26,7/5/6/8,0
settlers-creek,Settlers Creek,/settlers-creek.php,settlers creek,,26,9/9/6/2,0
mission-hills,Mission Hills,/mission-hills.php,mission hills,,26,9/5/6/6,0
leawood,Leawood,/leawood.php,leawood,,26,8/7/5/6,0
bemis-park,Bemis Park,/bemis-park.php,bemis park,,26,13/8/2/3,0
canterberry-crossing,Canterberry Crossing,/canterberry-crossing.php,canterberry crossing,,26,8/9/6/3,0
fairview,Fairview,/fairview.php,fairview,,25,11/5/4/5,0
fontenelle,Fontenelle,/fontenelle.php,fontenelle | fontenelle addition | fontenelle replat iv,,25,7/11/3/4,2
birchfield,Birchfield,/birchfield.php,birchfield | birchfield ii,,25,7/9/5/4,1
pacific-hollow,Pacific Hollow,/pacific-hollow.php,pacific hollow,,25,7/4/9/5,0
mission-heights,Mission Heights,/mission-heights.php,mission heights | mission heights addition | mission heights addition 'b' | mission heights addition a | mission heights addn b,,25,9/6/2/8,4
elk-ridge,Elk Ridge,/elk-ridge.php,elk ridge | elk ridge lot 5 block 0 irreg | elk ridge rep 2 | elk ridge replat 7,,25,7/7/6/5,3
quail-hollow,Quail Hollow,/quail-hollow.php,quail hollow,,24,5/6/8/5,0
stonecrest,Stonecrest,/stonecrest.php,stonecrest | stonecrest replat four,,24,9/3/7/5,1
avery-hills,Avery Hills,/avery-hills.php,avery hills,,24,4/4/5/11,0
west-loveland,West Loveland,/west-loveland.php,west loveland | west loveland add | west loveland add lot 1 block 8 102.74 x 140,,24,11/3/5/5,2
piney-creek,Piney Creek,/piney-creek.php,piney creek,,24,7/4/5/8,0
ridgewood,Ridgewood,/ridgewood.php,ridgewood | ridgewood replat 5,,24,6/6/7/5,1
heartland-hills,Heartland Hills,/heartland-hills.php,heartland hills,,24,11/3/4/6,0
leawood-southwest,Leawood Southwest,/leawood-southwest.php,leawood southwest,,24,7/9/3/5,0
shadow-glen-north,Shadow Glen North,/shadow-glen-north.php,shadow glen north,,24,4/4/8/8,0
the-heritage,The Heritage,/the-heritage.php,the heritage,,24,8/2/6/8,0
centennial,Centennial,/centennial.php,centennial,,23,9/3/3/8,0
cottonwood-creek,Cottonwood Creek,/cottonwood-creek.php,cottonwood creek | cottonwood creek replat one,,23,9/6/5/3,1
farnam-1600,Farnam 1600,/farnam-1600.php,farnam 1600,,23,11/7/2/3,0
hawaiian-village,Hawaiian Village,/hawaiian-village.php,hawaiian village,,23,3/5/8/7,0
ashford-hollow,Ashford Hollow,/ashford-hollow.php,ashford hollow,,23,6/6/6/5,0
dickinsons-landing,Dickinsons Landing,/dickinsons-landing.php,dickinsons landing,,23,7/2/3/11,0
chestnut-ridge,Chestnut Ridge,/chestnut-ridge.php,chestnut ridge | chestnut ridge replat,,23,4/5/8/6,1
western-oaks,Western Oaks,/western-oaks.php,western oaks,,23,9/6/4/4,0
bryn-mawr,Bryn Mawr,/bryn-mawr.php,bryn mawr,,23,6/7/6/4,0
meadow-lane-park,Meadow Lane Park,/meadow-lane-park.php,meadow lane park,,23,6/2/7/8,0
ranch-view-estates,Ranch View Estates,/ranch-view-estates.php,ranch view estates | ranch view estates 2 | ranch view estates iii | ranch view estates replat 3,,22,4/6/6/6,3
grandview,Grandview,/grandview.php,grandview | grandview add,,22,5/3/7/7,1
dahlman-rows,Dahlman Rows,/dahlman-rows.php,dahlman rows,,22,8/8/3/3,0
savanna-shores,Savanna Shores,/savanna-shores.php,savanna shores,,22,10/7/4/1,0
pilgrims-landing,Pilgrims Landing,/pilgrims-landing.php,pilgrims landing,,22,3/5/10/4,0
riverfront-place,Riverfront Place,/riverfront-place.php,riverfront place,,22,4/6/6/6,0
southern-oaks,Southern Oaks,/southern-oaks.php,southern oaks,,22,5/7/6/4,0
skylark-heights,Skylark Heights,/skylark-heights.php,skylark heights | skylark heights add,,22,7/4/6/5,1
springfield,Springfield,/springfield.php,springfield,"City/area page: MLS plat of the same name is only the original town, not the whole city",22,6/7/2/7,0
spruce-abbey,Spruce Abbey,/spruce-abbey.php,spruce abbey,,22,14/3/3/2,0
west-bay-springs,West Bay Springs,/west-bay-springs.php,west bay springs,,22,5/4/8/5,0
autumn-ridge,Autumn Ridge,/autumn-ridge.php,autumn ridge,,22,6/3/6/7,0
mayfair,Mayfair,/mayfair.php,mayfair | mayfair add-replat lot 10 block 0 irreg | mayfair addition | mayfair replat one,,21,7/6/1/7,3
parkwood,Parkwood,/parkwood.php,parkwood,,21,5/5/6/5,0
grayhawk,GrayHawk,/grayhawk.php,grayhawk,,21,10/3/4/4,0
fairview-heights,Fairview Heights,/fairview-heights.php,fairview heights | fairview heights replat,,21,5/2/7/7,1
winterburn,Winterburn,/winterburn.php,winterburn,,21,4/4/6/7,0
torrey-pines,Torrey Pines,/torrey-pines.php,torrey pines | torrey pines rep 1,,21,7/5/4/5,1
silverleaf-estates,Silverleaf Estates,/silverleaf-estates.php,silverleaf estates,,21,2/2/9/8,0
west-fairacres,West Fairacres,/west-fairacres.php,west fairacres | west fairacres lot 4 block 2 irreg,,21,3/7/5/6,1
happy-hollow-hills,Happy Hollow Hills,/happy-hollow-hills.php,happy hollow hills,,21,5/7/7/2,0
titan-springs,Titan Springs,/titan-springs.php,titan springs,,21,6/4/2/9,0
oak-hills,Oak Hills,/oak-hills.php,oak hills,,21,9/2/4/6,0
georgetowne,Georgetowne,/georgetowne.php,georgetowne | georgetowne replat | georgetowne replat ii,,21,6/4/9/2,2
eagle-run,Eagle Run,/eagle-run.php,eagle run,,21,7/4/6/4,0
ponca-hills,Ponca Hills,/ponca-hills.php,ponca hills,,21,5/9/4/3,0
glenmorrie,Glenmorrie,/glenmorrie.php,glenmorrie,,21,5/5/8/3,0
gruenther-ridge,Gruenther Ridge,/gruenther-ridge.php,gruenther ridge,,20,0/0/2/18,0
woodbridge,Woodbridge,/woodbridge.php,woodbridge | woodbridge sub | woodbridge sub lot 54 block 0 irreg | woodbridge sub lot 98 block 0,,20,7/6/4/3,3
deer-creek-highlands,Deer Creek Highlands,/deer-creek-highlands.php,deer creek highlands,,20,5/4/4/7,0
underwood-hills,Underwood Hills,/underwood-hills.php,underwood hills,,20,10/5/2/3,0
mission-pines,Mission Pines,/mission-pines.php,mission pines | mission pines replat,,20,5/8/6/1,1
park-plaza-condos,Park Plaza Condos,/park-plaza-condos.php,park plaza condos,,20,5/9/1/5,0
bay-shores,Bay Shores,/bay-shores.php,bay shores,,20,9/2/7/2,0
eagle-crest,Eagle Crest,/eagle-crest.php,eagle crest,,20,9/6/2/3,0
whispering-timber-estates,Whispering Timber Estates,/whispering-timber-estates.php,whispering timber estates,,20,6/3/6/5,0
